"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"JAN","2021-01-1",14.4,19.7,0,NA,NA,"ESE",35,"12:39",15.9,71,8,"SE","17",1021.7,18.5,59,8,"ESE","17",1019.1
"JAN","2021-01-2",13,22.3,0,NA,NA,"E",37,"16:02",16.9,59,8,"E","7",1015.7,20.6,60,8,"E","17",1011.7
"JAN","2021-01-3",15.7,26.7,5.8,NA,NA,"NNW",31,"13:28",17.9,94,8,NA,"Calm",1008.1,24.1,60,8,"NW","17",1005.8
"JAN","2021-01-4",14.6,24.8,7.2,NA,NA,"WNW",56,"13:28",21.6,74,7,"W","6",1006.3,16.3,97,8,"SSW","13",1007.6
"JAN","2021-01-5",14.1,28,5.4,NA,NA,"NW",39,"13:16",19.2,77,4,"W","9",1008,26.6,41,2,"NW","20",1006.2
"JAN","2021-01-6",13,24.7,0.2,NA,NA,"ESE",46,"13:23",18.2,68,8,"SE","11",1014,19.1,76,7,"ESE","33",1013.4
"JAN","2021-01-7",8.3,24.3,0,NA,NA,"ENE",44,"17:21",16.6,57,NA,"SSE","19",1020.8,22.3,37,3,"E","26",1019.2
"JAN","2021-01-8",8.2,22.2,0,NA,NA,"SE",39,"12:22",15.5,61,8,"ESE","17",1023.7,20.8,42,7,"ESE","19",1022.1
"JAN","2021-01-9",7.1,27.7,0,NA,NA,"NE",31,"18:27",17.3,61,NA,"SSE","6",1022.6,26.1,35,1,"WNW","11",1018.7
"JAN","2021-01-10",10.7,31.8,0,NA,NA,"ENE",37,"17:57",19.9,60,NA,"SSW","7",1020,29,32,8,"NE","17",1016.1
"JAN","2021-01-11",10.2,32.5,0,NA,NA,"N",31,"15:21",20.5,55,NA,"NE","2",1017.6,31.5,24,NA,"WSW","19",1013.2
"JAN","2021-01-12",12,33.7,0,NA,NA,"E",70,"16:55",22.1,49,NA,"SW","7",1014.9,32.8,25,NA,"WNW","26",1011.8
"JAN","2021-01-13",14.4,34.5,1.8,NA,NA,"N",67,"20:06",21.5,64,NA,"E","2",1016.4,32,27,2,"W","17",1011.9
"JAN","2021-01-14",14.1,32.9,1,NA,NA,"NW",56,"16:46",25,50,NA,"NW","24",1009.7,31.3,22,NA,"W","30",1007.2
"JAN","2021-01-15",10.9,27.9,0,NA,NA,"NW",57,"13:47",19.2,63,3,"NNW","13",1007.2,27.2,22,NA,"NW","39",1001.9
"JAN","2021-01-16",9,23.5,0,NA,NA,"NW",52,"15:16",13.8,37,NA,"WNW","11",1008.6,22.8,24,NA,"WNW","30",1006.8
"JAN","2021-01-17",4.8,27.7,0,NA,NA,"NW",41,"15:55",16,50,NA,"WNW","7",1013,26.8,18,NA,"W","20",1010.8
"JAN","2021-01-18",7.6,30.8,0,NA,NA,"NW",46,"15:38",17.5,61,NA,"SW","7",1013.8,29.7,18,NA,"NNW","26",1009.1
"JAN","2021-01-19",10.5,30.1,0,NA,NA,"E",52,"16:15",19.9,34,NA,"SSE","15",1015.6,28.3,16,7,"WNW","11",1013.7
"JAN","2021-01-20",11.4,24.9,0,NA,NA,"NNE",37,"15:42",15,60,3,"ENE","19",1022.4,22.6,35,4,"N","13",1018.8
"JAN","2021-01-21",8.4,30.5,0,NA,NA,"NW",33,"13:51",16.4,64,NA,"S","7",1018.3,29,23,NA,"W","20",1012.3
"JAN","2021-01-22",11.2,34.1,0,NA,NA,"NW",50,"12:08",22.4,52,NA,"NW","7",1010.9,31.3,20,1,"W","28",1007.5
"JAN","2021-01-23",11.5,35.9,0,NA,NA,"NNW",52,"12:14",21.1,56,NA,NA,"Calm",1012.8,34.6,12,NA,"NW","17",1009.8
"JAN","2021-01-24",13.7,37.5,0,NA,NA,"ESE",48,"18:34",20.8,79,NA,"N","9",1013.6,36.1,16,NA,"WNW","17",1009.2
"JAN","2021-01-25",15.6,38,0,NA,NA,"NNW",46,"12:59",25.4,45,NA,"N","2",1010.1,36.2,23,1,"NW","24",1004.5
"JAN","2021-01-26",18.1,32.7,0,NA,NA,"NW",56,"12:02",26.3,37,8,"NW","35",1002.3,27.4,44,8,"WNW","24",1001.7
"JAN","2021-01-27",16.7,20.1,5,NA,NA,"SE",39,"21:51",17.2,87,8,"SSE","9",1012,19,68,7,"E","20",1014.2
"JAN","2021-01-28",15.9,17.9,0,NA,NA,"ESE",35,"09:55",16.6,73,8,"SE","17",1020.2,15,93,8,"ESE","17",1020.3
"JAN","2021-01-29",13.2,18.8,22.8,NA,NA,"ENE",30,"11:37",15.1,99,8,"S","9",1017.2,17.8,94,8,NA,"Calm",1014.1
"JAN","2021-01-30",15,29.3,7.8,NA,NA,"NW",39,"11:10",18.4,99,8,"N","11",1010.8,28.1,46,NA,"WNW","22",1008.7
"JAN","2021-01-31",17.5,25.2,0.6,NA,NA,"N",39,"13:42",19.5,78,8,"ENE","13",1015.4,24.1,57,NA,"NE","24",1014.4
"FEB","2021-02-1",16.4,28.1,0,NA,NA,"WNW",72,"17:22",18.8,76,8,"ENE","6",1015.4,26.5,50,8,"WSW","13",1009.6
"FEB","2021-02-2",14.9,24.7,28.4,NA,NA,"SE",37,"15:44",16.9,74,8,"SSE","11",1009.9,23.4,40,2,"SSW","17",1008.8
"FEB","2021-02-3",8.3,24.8,0.2,NA,NA,"E",33,"20:25",14.4,67,7,"S","15",1013.5,22.8,41,1,"WNW","13",1009.4
"FEB","2021-02-4",13.2,29.4,0,NA,NA,"NNE",43,"20:06",19,68,1,"ENE","4",1011.1,27.8,42,8,"NW",NA,1007.6
"FEB","2021-02-5",17.1,28.2,2,NA,NA,"NE",50,"20:04",19.7,82,8,NA,"Calm",1010.3,26.6,55,7,"NNE","20",1005.5
"FEB","2021-02-6",18.8,26,30.6,NA,NA,"N",54,"05:07",19.2,99,7,"NNW","30",1001.8,25.2,44,NA,"NNW",NA,1000.6
"FEB","2021-02-7",10.1,27.5,5.4,NA,NA,"E",44,"18:23",18,63,NA,"SE","2",1006.5,26.6,35,NA,"ENE",NA,1005
"FEB","2021-02-8",14.8,24.9,1.4,NA,NA,"E",39,"17:27",15.3,89,8,"SE","6",1013.6,23.1,49,1,"NNW",NA,1010.9
"FEB","2021-02-9",15,21.9,0,NA,NA,"ENE",37,"14:24",16.3,70,8,"ESE","11",1017,20.7,58,7,"ENE","17",1014.8
"FEB","2021-02-10",14.2,24.4,0,NA,NA,"E",35,"19:24",15.6,75,7,"E","13",1016.8,22.7,51,4,"NW",NA,1013.1
"FEB","2021-02-11",14.6,28.3,0,NA,NA,"NW",35,"16:49",16.9,78,8,"N","4",1014.1,26.3,43,4,"N","20",1009.4
"FEB","2021-02-12",15.7,26,0,NA,NA,"NW",43,"10:02",21.7,56,8,"NNW","15",1006.8,20,92,8,"NNW",NA,1005.9
"FEB","2021-02-13",18.5,26.9,2.4,NA,NA,"ENE",46,"13:50",21.2,81,8,"N","7",1006.6,21.5,64,6,"ENE",NA,1008
